"Kods","Koda atšifrējums latviešu valodā","Koda atšifrējums angļu valodā","Pakalpojuma kategorijas Nr."
"44614100-8","Uzglabāšanas tvertnes.","Storage bins","preces"
"44614300-0","Konteineru uzglabāšanas sistēma.","Container storage system","preces"
"44614310-3","Ķīpošanas iekārtas.","Stacking machinery","preces"
"44615000-4","Augstspiediena tvertnes.","Pressure vessels","preces"
"44615100-5","Tērauda augstspiediena tvertnes.","Steel pressure vessels","preces"
"44616000-1","Cilindriskas tvertnes.","Drums","preces"
"44616200-3","Cilindriskas atkritumu tvertnes.","Waste drums","preces"
"44617000-8","Bloki.","Boxes","preces"
"44617100-9","Kartona kārbas.","Cartons","preces"
"44617200-0","Mērinstrumentu apvalki.","Meter housings","preces"
"44617300-1","Saliekamas kastes.","Prefabricated boxes","preces"
"44618000-5","Vieglas tvertnes, korķi, aizbāžņi, tvertņu virsas, kubli un vāki.","Light containers, corks, tops for containers, vats and lids","preces"
"44618100-6","Vieglas tvertnes.","Light containers","preces"
"44618300-8","Korķi, aizbāžņi, tvertņu virsas un vāki.","Corks, stoppers, tops for containers and lids","preces"
"44618310-1","Korķi.","Corks","preces"
"44618320-4","Aizbāžņi.","Stoppers","preces"
"44618330-7","Tvertņu virsas.","Tops for containers","preces"
"44618340-0","Vāki.","Lids","preces"
"44618350-3","Plastmasas uzmavas.","Plastic caps","preces"
"44618400-9","Kannas.","Cans","preces"
"44618420-5","Pārtikas kannas.","Food cans","preces"
"44618500-0","Kubli.","Vats","preces"
"44619000-2","Citas tvertnes.","Other containers","preces"
"44619100-3","Kastes.","Cases","preces"
"44619200-4","Spoles kabeļu uztīšanai.","Cable drums","preces"
"44619300-5","Redeļu kastes.","Crates","preces"
"44619400-6","Stīpotās mucas.","Barrels","preces"
"44619500-7","Platformas kastes.","Pallet boxes","preces"
"44620000-2","Centrālās apkures radiatori un katli, un to sastāvdaļas.","Central-heating radiators and boilers and parts","preces"
"44621000-9","Radiatori un katli.","Radiators and boilers","preces"
"44621100-0","Radiatori.","Radiators","preces"
"44621110-3","Centrālās apkures radiatori.","Central-heating radiators","preces"
"44621111-0","Radiatori centrālās apkures sistēmām, kas netiek apkurinātas ar elektrību.","Non-electrically-heated central-heating radiators","preces"
"44621112-7","Centrālās apkures radiatoru sastāvdaļas.","Parts of central-heating radiators","preces"
"44621200-1","Katli.","Boilers","preces"
"44621210-4","Ūdens katli.","Water boilers","preces"
"44621220-7","Centrālās apkures katli.","Central-heating boilers","preces"
"44621221-4","Centrālās apkures katlu sastāvdaļas.","Parts of central-heating boilers","preces"
"44622000-6","Siltuma reģenerācijas sistēmas.","Heat-recovery systems","preces"
"44622100-7","Siltuma reģenerācijas aprīkojums.","Heat-recovery equipment","preces"
"44800000-8","Krāsas, lakas un mastikas.","Paints, varnishes and mastics","preces"
"44810000-1","Krāsas.","Paints","preces"
"44811000-8","Ceļu krāsas.","Road paint","preces"
"44812000-5","Mākslinieku profesionālās krāsas.","Artists' paints","preces"
"44812100-6","Emaljas un glazūras.","Enamels and glazes","preces"
"44812200-7","Eļļas krāsas un ūdenskrāsas.","Oil and water paints","preces"
"44812210-0","Eļļas krāsas.","Oil paints","preces"
"44812220-3","Ūdenskrāsas.","Water paints","preces"
"44812300-8","Krāsas skolēniem.","Students' paints","preces"
"44812310-1","Krāsu komplekti.","Colours in sets","preces"
"44812320-4","Plakātkrāsas.","Signboard painters' colours","preces"
"44812400-9","Dekorējošie materiāli.","Decorating supplies","preces"
"44820000-4","Lakas.","Varnishes","preces"
"44830000-7","Mastikas, pildvielas, tepe un šķīdinātāji.","Mastics, fillers, putty and solvents","preces"
"44831000-4","Mastikas, pildvielas, tepe.","Mastics, fillers, putty","preces"
"44831100-5","Mastikas.","Mastics","preces"
"44831200-6","Pildvielas.","Fillers","preces"
"44831300-7","Tepe.","Putty","preces"
"44831400-8","Java.","Grout","preces"
"44832000-1","Šķīdinātāji.","Solvents","preces"
"44832100-2","Krāsas noņēmēji.","Paint stripper","preces"
"44832200-3","Šķidrinātāji.","Thinners","preces"
"44900000-9","Celtniecībā izmantojamais akmens, kaļķakmens, ģipšakmens un šīferis.","Stone for construction, limestone, gypsum and slate","preces"
"44910000-2","Celtniecībā izmantojamais akmens.","Stone for construction","preces"
"44911000-9","Marmors un celtniecībā izmantojams kaļķakmens.","Marble and calcarous building stone","preces"
"44911100-0","Marmors.","Marble","preces"
"44911200-1","Travertīns.","Travertine","preces"
"44912000-6","Dažādi celtniecībā izmantojami akmeņi.","Miscellaneous building stone","preces"
"44912100-7","Granīts.","Granite","preces"
"44912200-8","Smilšakmens.","Sandstone","preces"
"44912300-9","Bazalts.","Basalt","preces"
"44912400-0","Ietvju malu akmeņi.","Kerbstones","preces"
"44920000-5","Kaļķakmens, ģipšakmens un krīts.","Limestone, gypsum and chalk","preces"
"44921000-2","Kaļķakmens un ģipšakmens.","Limestone and gypsum","preces"
"44921100-3","Ģipšakmens.","Gypsum","preces"
"44921200-4","Kaļķi.","Lime","preces"
"44921210-7","Kaļķu pulveris.","Powdered lime","preces"
"44921300-5","Kaļķakmens.","Limestone","preces"
"44922000-9","Krīts un dolomīts.","Chalk and dolomite","preces"
"44922100-0","Krīts.","Chalk","preces"
"44922200-1","Dolomīts.","Dolomite","preces"
"44930000-8","Šīferis.","Slate","preces"
"45000000-7","Celtniecības darbi.","Construction work","būvdarbi"
"45100000-8","Būvlaukuma sagatavošana.","Site preparation work","būvdarbi"
"45110000-1","Ēku demontāžas un nojaukšanas darbi un zemes pārvietošanas darbi.","Building demolition and wrecking work and earthmoving work","būvdarbi"
"45111000-8","Ēku demontāžas, būvlaukuma sagatavošanas un tīrīšanas darbi.","Demolition, site preparation and clearance work","būvdarbi"
"45111100-9","Demontāžas darbi.","Demolition work","būvdarbi"
"45111200-0","Būvlaukuma sagatavošanas un tīrīšanas darbi.","Site preparation and clearance work","būvdarbi"
"45111210-3","Spridzināšanas un citi ar akmeņu novākšanu saistītie darbi.","Blasting and associated rock-removal work","būvdarbi"
"45111211-0","Spridzināšanas darbi.","Blasting work","būvdarbi"
"45111212-7","Akmeņu novākšanas darbi.","Rock-removal work","būvdarbi"
"45111213-4","Būvlaukuma tīrīšanas darbi.","Site-clearance work","būvdarbi"
"45111214-1","Pēcspridzināšanas attīrīšanas darbi.","Blast-clearing work","būvdarbi"
"45111220-6","Brikšņu un krūmāju novākšanas darbi.","Scrub-removal work","būvdarbi"
"45111230-9","Grunts stabilizācijas darbi.","Ground-stabilisation work","būvdarbi"
"45111240-2","Grunts drenāžas darbi.","Ground-drainage work","būvdarbi"
"45111250-5","Grunts izpētes darbi.","Ground investigation work","būvdarbi"
"45111260-8","Laukuma sagatavošana izrakteņu ieguvei.","Site-preparation work for mining","būvdarbi"
"45111290-7","Sagatavošanas darbi gāzes un ūdens apgādes ierīkošanai.","Primary works for services","būvdarbi"
"45111291-4","Būvlaukuma labiekārtošanas darbi.","Site-development work","būvdarbi"
"45111300-1","Demontēšanas darbi.","Dismantling works","būvdarbi"
"45111310-4","Militāru iekārtu demontēšanas darbi.","Dismantling works for military installations","būvdarbi"
"45111320-7","Drošības iekārtu demontēšanas darbi.","Dismantling works for security installations","būvdarbi"
"45112000-5","Rakšanas un zemes pārvietošanas darbi.","Excavating and earthmoving work","būvdarbi"
"45112100-6","Tranšeju rakšanas darbi.","Trench-digging work","būvdarbi"
"45112200-7","Augsnes noņemšanas darbi.","Soil-stripping work","būvdarbi"
"45112210-0","Aramkārtas noņemšanas darbi.","Topsoil-stripping work","būvdarbi"
"45112300-8","Apbūves un zemes meliorācijas darbi.","Infill and land-reclamation work","būvdarbi"
"45112310-1","Apbūves darbi.","Infill work","būvdarbi"
"45112320-4","Zemes meliorācijas darbi.","Land-reclamation work","būvdarbi"
"45112330-7","Būvlaukuma meliorācijas darbi.","Site-reclamation work","būvdarbi"
"45112340-0","Augsnes attīrīšana no piesārņojuma.","Soil-decontamination work","būvdarbi"
"45112350-3","Atmatā atstātas zemes apgūšana.","Reclamation of waste land","būvdarbi"
"45112360-6","Zemes rehabilitācijas darbi.","Land rehabilitation work","būvdarbi"
"45112400-9","Rakšanas darbi.","Excavating work","būvdarbi"
"45112410-2","Grāvju rakšana.","Grave-digging work","būvdarbi"
"45112420-5","Pamatu rakšanas darbi.","Basement excavation work","būvdarbi"
"45112440-1","Terašu izbūve kalnu nogāzēs.","Terracing of hillsides","būvdarbi"
"45112441-8","Terašu izbūve.","Terracing work","būvdarbi"
"45112450-4","Rakšanas darbi arheoloģisko atradumu vietās.","Excavation work at archaeological sites","būvdarbi"
"45112500-0","Zemes pārvietošanas darbi.","Earthmoving work","būvdarbi"
"45112600-1","Ciršana un aizpildīšana.","Cut and fill","būvdarbi"
"45112700-2","Ainavas veidošana.","Landscaping work","būvdarbi"
"45112710-5","Zaļo zonu ainavas veidošana.","Landscaping work for green areas","būvdarbi"
"45112711-2","Parku ainavas veidošana.","Landscaping work for parks","būvdarbi"
"45112712-9","Dārzu ainavas veidošana.","Landscaping work for gardens","būvdarbi"
"45112713-6","Jumta dārzu ainavas veidošana.","Landscaping work for roof gardens","būvdarbi"
"45112714-3","Kapsētu ainavas veidošana.","Landscaping work for cemeteries","būvdarbi"
"45112720-8","Sporta laukumu un atpūtas zonu ainavas veidošana.","Landscaping work for sports grounds and recreational areas","būvdarbi"
"45112721-5","Golfa laukumu ainavas veidošana.","Landscaping work for golf courses","būvdarbi"
"45112722-2","Jāšanai paredzēto zonu ainavas veidošana.","Landscaping work for riding areas","būvdarbi"
"45112723-9","Rotaļu laukumu ainavas veidošana.","Landscaping work for playgrounds","būvdarbi"
"45112730-1","Ceļu un autoceļu ainavas veidošana.","Landscaping work for roads and motorways","būvdarbi"
"45112740-4","Lidostu ainavas veidošana.","Landscaping work for airports","būvdarbi"
"45113000-2","Būvlaukuma iekārtošanas darbi.","Siteworks","būvdarbi"
"45120000-4","Kontroles urbumu un izpētes urbumu veikšanas darbi.","Test drilling and boring work","būvdarbi"
"45121000-1","Kontroles urbumu veikšanas darbi.","Test drilling work","būvdarbi"
"45122000-8","Izpētes urbumu veikšanas darbi.","Test boring work","būvdarbi"
"45200000-9","Pilnīgas vai daļējas izbūves darbi un inženiertehniskie darbi.","Works for complete or part construction and civil engineering work","būvdarbi"
"45210000-2","Ēku celtniecības darbi.","Building construction work","būvdarbi"
"45211000-9","Daudzdzīvokļu ēku un individuālo māju celtniecības darbi.","Construction work for multi-dwelling buildings and individual houses","būvdarbi"
"45211100-0","Celtniecības darbi mājām.","Construction work for houses","būvdarbi"
"45211200-1","Pansionātu celtniecības darbi.","Sheltered housing construction work","būvdarbi"
"45211300-2","Māju celtniecības darbi.","Houses construction work","būvdarbi"
"45211310-5","Vannasistabu celtniecības darbi.","Bathrooms construction work","būvdarbi"
"45211320-8","Lieveņu celtniecības darbi.","Porches construction work","būvdarbi"
"45211340-4","Daudzdzīvokļu ēku celtniecības darbi.","Multi-dwelling buildings construction work","būvdarbi"
"45211341-1","Dzīvokļu celtniecības darbi.","Flats construction work","būvdarbi"
"45211350-7","Daudzfunkcionālu ēku celtniecības darbi.","Multi-functional buildings construction work","būvdarbi"
"45211360-0","Pilsētattīstības celtniecības darbi.","Urban development construction work","būvdarbi"
"45211370-3","Saunu celtniecības darbi.","Construction works for saunas","būvdarbi"
"45212000-6","Ar atpūtu, sportu, kultūru, nakšņošanu un ēdināšanu saistītu ēku būvniecība.","Construction work for buildings relating to leisure, sports, culture, lodging and restaurants","būvdarbi"
"45212100-7","Atpūtas telpu celtniecības darbi.","Construction work of leisure facilities","būvdarbi"
"45212110-0","Atpūtas centra celtniecības darbi.","Leisure centre construction work","būvdarbi"
"45212120-3","Tematiskā parka celtniecības darbi.","Theme park construction work","būvdarbi"
"45212130-6","Atrakciju parka celtniecības darbi.","Amusement park construction work","būvdarbi"
"45212140-9","Rekreācijas objekti.","Recreation installation","būvdarbi"
"45212150-2","Kinoteātra celtniecības darbi.","Cinema construction work","būvdarbi"
"45212160-5","Kazino celtniecības darbi.","Casino construction work","būvdarbi"
"45212170-8","Izklaides ēkas celtniecības darbi.","Entertainment building construction work","būvdarbi"
"45212171-5","Izklaides centra celtniecības darbi.","Entertainment centre construction work","būvdarbi"
"45212172-2","Rekreācijas centra celtniecības darbi.","Recreation centre construction work","būvdarbi"
"45212180-1","Biļešu kasu celtniecības darbi.","Ticket offices construction work","būvdarbi"
"45212190-4","Aizsardzības pret saulesgaismu darbi.","Sun-protection works","būvdarbi"
"45212200-8","Sporta objektu celtniecības darbi.","Construction work for sports facilities","būvdarbi"
"45212210-1","Viena profila sporta objektu celtniecības darbi.","Single-purpose sports facilities construction work","būvdarbi"
"45212211-8","Slidotavas celtniecības darbi.","Ice rink construction work","būvdarbi"
"45212212-5","Peldbaseina celtniecības darbi.","Construction work for swimming pool","būvdarbi"
"45212213-2","Sporta marķējumu darbi.","Sport markings works","būvdarbi"
"45212220-4","Daudzprofilu sporta objektu celtniecības darbi.","Multi-purpose sports facilities construction work","būvdarbi"
"45212221-1","Ar sporta laukumu struktūrām saistīti celtniecības darbi.","Construction work in connection with structures for sports ground","būvdarbi"
"45212222-8","Vingrošanas zāles celtniecības darbi.","Gymnasium construction work","būvdarbi"
"45212223-5","Ziemas sporta objektu celtniecības darbi.","Winter-sports facilities construction work","būvdarbi"
"45212224-2","Stadiona celtniecības darbi.","Stadium construction work","būvdarbi"
"45212225-9","Sporta halles celtniecības darbi.","Sports hall construction work","būvdarbi"
"45212230-7","Ģērbtuvju uzstādīšana.","Installation of changing rooms","būvdarbi"
"45212290-5","Ar sporta objektiem saistīti remonta un uzturēšanas darbi.","Repair and maintenance work in connection with sports facilities","būvdarbi"
"45212300-9","Mākslas un kultūras ēku celtniecības darbi.","Construction work for art and cultural buildings","būvdarbi"
"45212310-2","Ar izstādēm saistītu ēku celtniecības darbi.","Construction work for buildings relating to exhibitions","būvdarbi"
"45212311-9","Mākslas galerijas celtniecības darbi.","Art gallery construction work","būvdarbi"
"45212312-6","Izstāžu centra celtniecības darbi.","Exhibition centre construction work","būvdarbi"
"45212313-3","Muzeja celtniecības darbi.","Museum construction work","būvdarbi"
"45212314-0","Vēstures pieminekļa vai memoriāla celtniecības darbi.","Historical monument or memorial construction work","būvdarbi"
"45212320-5","Ar mākslinieku uzstāšanos saistītu ēku celtniecības darbi.","Construction work for buildings relating to artistic performances","būvdarbi"
"45212321-2","Auditorijas celtniecības darbi.","Auditorium construction work","būvdarbi"
"45212322-9","Teātra celtniecības darbi.","Theatre construction work","būvdarbi"
"45212330-8","Bibliotēkas celtniecības darbi.","Library construction work","būvdarbi"
"45212331-5","Multivides bibliotēkas celtniecības darbi.","Multimedia library construction work","būvdarbi"
"45212340-1","Lekciju zāles celtniecības darbi.","Lecture hall construction work","būvdarbi"
"45212350-4","Noteiktas vēsturiskas vai arhitektoniskas nozīmes ēkas.","Buildings of particular historical or architectural interest","būvdarbi"
"45212351-1","Aizvēsturiska pieminekļa celtniecības darbi.","Prehistoric monument construction work","būvdarbi"
"45212352-8","Industriāla pieminekļa celtniecības darbi.","Industrial monument construction work","būvdarbi"
"45212353-5","Pils (palasta) celtniecības darbi.","Palace construction work","būvdarbi"
